Timestamp,language,problem
10-24-2022 12:23:01,Python,DNA
10-24-2022 12:23:02,Python,Cash
10-24-2022 12:23:03,Python,Speller
10-24-2022 12:23:04,Python,Mario
10-24-2022 12:23:05,Python,DNA
10-24-2022 12:23:06,Python,Cash
10-24-2022 12:23:07,Python,Speller
10-24-2022 12:23:08,Python,Mario
10-24-2022 12:23:09,Python,DNA
10-24-2022 12:23:10,Python,Cash
10-24-2022 12:23:11,Python,Speller
10-24-2022 12:23:12,Python,Mario
10-24-2022 12:23:13,Python,DNA
10-24-2022 12:23:14,Python,Cash
10-24-2022 12:23:15,Python,Speller
10-24-2022 12:23:16,Python,Mario
10-24-2022 12:23:17,Java,DNA
10-24-2022 12:23:18,Java,Cash
10-24-2022 12:23:19,Java,Speller
10-24-2022 12:23:20,Java,Mario
10-24-2022 12:23:21,Java,DNA
10-24-2022 12:23:22,Java,Cash
10-24-2022 12:23:23,Java,Speller
10-24-2022 12:23:24,Java,Mario
10-24-2022 12:23:25,Java,DNA
10-24-2022 12:23:26,Java,Cash
10-24-2022 12:23:27,Java,Speller
10-24-2022 12:23:28,Java,Mario
10-24-2022 12:23:29,Java,DNA
10-24-2022 12:23:30,Python,Cash
10-24-2022 12:23:31,Python,Speller
10-24-2022 12:23:32,Python,Mario
10-24-2022 12:23:33,Python,DNA
10-24-2022 12:23:34,Python,Cash
10-24-2022 12:23:35,Python,Speller
10-24-2022 12:23:36,Python,Mario
10-24-2022 12:23:37,Python,DNA
10-24-2022 12:23:38,Python,Cash
10-24-2022 12:23:39,Python,Speller
10-24-2022 12:23:40,Python,Mario
10-24-2022 12:23:41,Python,DNA
10-24-2022 12:23:42,Python,Cash
10-24-2022 12:23:43,Python,Speller
10-24-2022 12:23:44,Python,Mario
10-24-2022 12:23:45,Python,DNA
10-24-2022 12:23:46,Java,Cash
10-24-2022 12:23:47,Java,Speller
10-24-2022 12:23:48,Java,Mario
10-24-2022 12:23:49,Java,DNA
10-24-2022 12:23:50,Java,Cash
10-24-2022 12:23:51,Java,Speller
10-24-2022 12:23:52,Java,Mario
10-24-2022 12:23:53,Java,DNA
10-24-2022 12:23:54,Java,Cash
10-24-2022 12:23:55,Java,Speller
10-24-2022 12:23:56,Java,Mario
10-24-2022 13:23:01,Java,DNA
10-24-2022 13:23:02,Java,Cash
10-24-2022 13:23:03,Python,Speller
10-24-2022 13:23:04,Python,Mario
10-24-2022 13:23:05,Python,DNA
10-24-2022 13:23:06,Python,Cash
10-24-2022 13:23:07,Python,Speller
10-24-2022 13:23:08,Python,Mario
10-24-2022 13:23:09,Python,DNA
10-24-2022 13:23:10,Python,Cash
10-24-2022 13:23:11,Python,Speller
10-24-2022 13:23:12,Python,Mario
10-24-2022 13:23:13,Python,DNA
10-24-2022 13:23:14,Python,Cash
10-24-2022 13:23:15,Python,Speller
10-24-2022 13:23:16,Python,Mario
10-24-2022 13:23:17,Python,DNA
10-24-2022 13:23:18,Python,Cash
10-24-2022 13:23:19,Java,Speller
10-24-2022 13:23:20,Java,Mario
10-24-2022 13:23:21,Java,DNA
10-24-2022 13:23:22,Java,Cash
10-24-2022 13:23:23,Java,Speller
10-24-2022 13:23:24,Java,Mario
10-24-2022 13:23:25,Java,DNA
10-24-2022 13:23:26,Java,Cash
10-24-2022 13:23:27,Java,Speller
10-24-2022 13:23:28,Java,Mario
10-24-2022 13:23:29,Java,DNA
10-24-2022 13:23:30,Java,Cash
10-24-2022 13:23:31,Java,Speller
10-24-2022 13:23:32,Python,Mario
10-24-2022 13:23:33,Python,DNA
10-24-2022 13:23:34,Python,Cash
10-24-2022 13:23:35,Python,Speller
10-24-2022 13:23:36,Python,Mario
10-24-2022 13:23:37,Python,DNA
10-24-2022 13:23:38,Python,Cash
10-24-2022 13:23:39,Python,Speller
10-24-2022 13:23:40,Python,Mario
10-24-2022 13:23:41,Python,DNA
10-24-2022 13:23:42,Python,Cash
10-24-2022 13:23:43,Python,Speller
10-24-2022 13:23:44,Python,Mario
10-24-2022 13:23:45,Python,DNA
10-24-2022 13:23:46,Python,Cash
10-24-2022 13:23:47,Python,Speller
10-24-2022 13:23:48,Java,Mario
10-24-2022 13:23:49,Java,DNA
10-24-2022 13:23:50,Java,Cash
10-24-2022 13:23:51,Java,Speller
10-24-2022 13:23:52,Java,Mario
10-24-2022 13:23:53,Java,DNA
10-24-2022 13:23:54,Java,Cash
10-24-2022 13:23:55,Java,Speller
10-24-2022 13:23:56,Java,Mario
10-24-2022 13:23:57,Java,DNA
10-24-2022 13:23:58,Java,Cash
10-24-2022 14:23:01,Java,Speller
10-24-2022 14:23:02,Java,Mario
10-24-2022 14:23:03,Python,DNA
10-24-2022 14:23:04,Python,Cash
10-24-2022 14:23:05,Python,Speller
10-24-2022 14:23:06,Python,Mario
10-24-2022 14:23:07,Python,DNA
10-24-2022 14:23:08,Python,Cash
10-24-2022 14:23:09,Python,Speller
10-24-2022 14:23:10,Python,Mario
10-24-2022 14:23:11,Python,DNA
10-24-2022 14:23:12,Python,Cash
10-24-2022 14:23:13,Python,Speller
10-24-2022 14:23:14,Python,Mario
10-24-2022 14:23:15,Python,DNA
10-24-2022 14:23:16,Python,Cash
10-24-2022 14:23:17,Python,Speller
10-24-2022 14:23:18,Python,Mario
10-24-2022 14:23:19,Java,DNA
10-24-2022 14:23:20,Java,Cash
10-24-2022 14:23:21,Java,Speller
10-24-2022 14:23:22,Java,Mario
10-24-2022 14:23:23,Java,DNA
10-24-2022 14:23:24,Java,Cash
10-24-2022 14:23:25,Java,Speller
10-24-2022 14:23:26,Java,Mario
10-24-2022 14:23:27,Java,DNA
10-24-2022 14:23:28,Java,Cash
10-24-2022 14:23:29,Java,Speller
10-24-2022 14:23:30,Java,Mario
10-24-2022 14:23:31,Java,DNA
10-24-2022 14:23:32,Python,Cash
10-24-2022 14:23:33,Python,Speller
10-24-2022 14:23:34,Python,Mario
10-24-2022 14:23:35,Python,DNA
10-24-2022 14:23:36,Python,Cash
10-24-2022 14:23:37,Python,Speller
10-24-2022 14:23:38,Python,Mario
10-24-2022 14:23:39,Python,DNA
10-24-2022 14:23:40,Python,Cash
10-24-2022 14:23:41,Python,Speller
10-24-2022 14:23:42,Python,Mario
10-24-2022 14:23:43,Python,DNA
10-24-2022 14:23:44,Python,Cash
10-24-2022 14:23:45,Python,Speller
10-24-2022 14:23:46,Python,Mario
10-24-2022 14:23:47,Python,DNA
10-24-2022 14:23:48,Java,Cash
10-24-2022 14:23:49,Java,Speller
10-24-2022 14:23:50,Java,Mario
10-24-2022 14:23:51,Java,DNA
10-24-2022 14:23:52,Java,Cash
10-24-2022 14:23:53,Java,Speller
10-24-2022 14:23:54,Java,Mario
10-24-2022 14:23:55,Java,DNA
10-24-2022 14:23:56,Java,Cash
10-24-2022 15:23:01,Java,Speller
10-24-2022 15:23:02,Java,Mario
10-24-2022 15:23:03,Java,DNA
10-24-2022 15:23:04,Java,Cash
10-24-2022 15:23:05,Python,Speller
10-24-2022 15:23:06,Python,Mario
10-24-2022 15:23:07,Python,DNA
10-24-2022 15:23:08,Python,Cash
10-24-2022 15:23:09,Python,Speller
10-24-2022 15:23:10,Python,Mario
10-24-2022 15:23:11,Python,DNA
10-24-2022 15:23:12,Python,Cash
10-24-2022 15:23:13,Python,Speller
10-24-2022 15:23:14,Python,Mario
10-24-2022 15:23:15,Python,DNA
10-24-2022 15:23:16,Python,Cash
10-24-2022 15:23:17,Python,Speller
10-24-2022 15:23:18,Python,Mario
10-24-2022 15:23:19,Python,DNA
10-24-2022 15:23:20,Python,Cash
10-24-2022 15:23:21,Java,Speller
10-24-2022 15:23:22,Java,Mario
10-24-2022 15:23:23,Java,DNA
10-24-2022 15:23:24,Java,Cash
10-24-2022 15:23:25,Java,Speller
10-24-2022 15:23:26,Java,Mario
10-24-2022 15:23:27,Java,DNA
10-24-2022 15:23:28,Java,Cash
10-24-2022 15:23:29,Java,Speller
10-24-2022 15:23:30,Java,Mario
10-24-2022 15:23:31,Java,DNA
10-24-2022 15:23:32,Java,Cash
10-24-2022 15:23:33,Java,Speller
10-24-2022 15:23:34,Python,Mario
10-24-2022 15:23:35,Python,DNA
10-24-2022 15:23:36,C,Cash
10-24-2022 15:23:37,C,Speller
10-24-2022 15:23:38,C,Mario
10-24-2022 15:23:39,C,DNA
10-24-2022 15:23:40,C,Cash
10-24-2022 15:23:41,C,Speller
10-24-2022 15:23:42,Python,Mario
10-24-2022 15:23:43,Python,DNA
10-24-2022 15:23:44,Python,Cash
10-24-2022 15:23:45,Python,Speller
10-24-2022 15:23:46,Python,Mario
10-24-2022 15:23:47,Python,DNA
10-24-2022 15:23:48,Python,Cash
10-24-2022 15:23:49,Python,Speller
10-24-2022 15:23:50,Python,Mario